,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
1,0.518427518,0.176904177,0.085995086,0.039312039,0.017199017,0.007371007,0.00982801,0.012285012,0.007371007,0.002457002,0.002457002,0.004914005,0.004914005,0.012285012,0.007371007,0.007371007,0.012285012,0.017199017,0.022113022,0.01965602,0.007371007,0,0,0.004914005,1
2,0.236453202,0.268472906,0.142857143,0.073891626,0.054187192,0.017241379,0.02955665,0.017241379,0.024630542,0.002463054,0.012315271,0.004926108,0.004926108,0.004926108,0.007389163,0.014778325,0.009852217,0.007389163,0.014778325,0.022167488,0.007389163,0.012315271,0.004926108,0.004926108,1
3,0.093366093,0.194103194,0.211302211,0.113022113,0.083538084,0.046683047,0.024570025,0.01965602,0.01965602,0.017199017,0.004914005,0.00982801,0.007371007,0.014742015,0.004914005,0.00982801,0.022113022,0.01965602,0.039312039,0.017199017,0.014742015,0.00982801,0.002457002,0,1
4,0.049140049,0.135135135,0.135135135,0.179361179,0.100737101,0.081081081,0.058968059,0.029484029,0.027027027,0.014742015,0.012285012,0.002457002,0.012285012,0.004914005,0.014742015,0.017199017,0.01965602,0.031941032,0.024570025,0.039312039,0.002457002,0.004914005,0,0.002457002,1
5,0.022113022,0.061425061,0.117936118,0.15970516,0.12039312,0.083538084,0.058968059,0.041769042,0.024570025,0.036855037,0.029484029,0.014742015,0.004914005,0.024570025,0.00982801,0.01965602,0.027027027,0.049140049,0.01965602,0.039312039,0.007371007,0.01965602,0.002457002,0.004914005,1
6,0.024570025,0.041769042,0.090909091,0.103194103,0.12039312,0.14004914,0.090909091,0.049140049,0.046683047,0.027027027,0.024570025,0.014742015,0.014742015,0.014742015,0.036855037,0.00982801,0.01965602,0.01965602,0.029484029,0.049140049,0.00982801,0.012285012,0.004914005,0.004914005,1
7,0.017241379,0.036945813,0.054187192,0.044334975,0.113300493,0.123152709,0.113300493,0.07635468,0.054187192,0.041871921,0.027093596,0.034482759,0.022167488,0.022167488,0.02955665,0.02955665,0.02955665,0.024630542,0.034482759,0.02955665,0.012315271,0.017241379,0.004926108,0.007389163,1
8,0.007389163,0.017241379,0.034482759,0.073891626,0.091133005,0.071428571,0.086206897,0.086206897,0.088669951,0.0591133,0.051724138,0.041871921,0.04679803,0.022167488,0.02955665,0.027093596,0.032019704,0.024630542,0.036945813,0.024630542,0.017241379,0.012315271,0.009852217,0.007389163,1
9,0.002457002,0.017199017,0.022113022,0.061425061,0.061425061,0.085995086,0.108108108,0.103194103,0.090909091,0.071253071,0.041769042,0.031941032,0.041769042,0.034398034,0.044226044,0.01965602,0.012285012,0.031941032,0.039312039,0.027027027,0.022113022,0.024570025,0.004914005,0,1
10,0.012345679,0.012345679,0.019753086,0.022222222,0.054320988,0.081481481,0.079012346,0.09382716,0.125925926,0.086419753,0.066666667,0.049382716,0.037037037,0.037037037,0.027160494,0.014814815,0.037037037,0.02962963,0.027160494,0.054320988,0.019753086,0.007407407,0.002469136,0.002469136,1
